Year,Geographical Location,Income decile,Income,Highest-to-Lowest Average Income Ratio, Income Range
1976,Canada,Total deciles,63300,16.75531914893617,148100
1976,Canada,Lowest decile,9400,NA,NA
1976,Canada,Second decile,21300,NA,NA
1976,Canada,Third decile,31500,NA,NA
1976,Canada,Fourth decile,41500,NA,NA
1976,Canada,Fifth decile,51800,NA,NA
1976,Canada,Sixth decile,61600,NA,NA
1976,Canada,Seventh decile,71900,NA,NA
1976,Canada,Eighth decile,84500,NA,NA
1976,Canada,Ninth decile,101600,NA,NA
1976,Canada,Highest decile,157500,NA,NA
1976,Atlantic provinces,Total deciles,52900,13.808988764044944,114000
1976,Atlantic provinces,Lowest decile,8900,NA,NA
1976,Atlantic provinces,Second decile,19400,NA,NA
1976,Atlantic provinces,Third decile,28100,NA,NA
1976,Atlantic provinces,Fourth decile,35200,NA,NA
1976,Atlantic provinces,Fifth decile,43500,NA,NA
1976,Atlantic provinces,Sixth decile,52300,NA,NA
1976,Atlantic provinces,Seventh decile,61900,NA,NA
1976,Atlantic provinces,Eighth decile,71900,NA,NA
1976,Atlantic provinces,Ninth decile,85200,NA,NA
1976,Atlantic provinces,Highest decile,122900,NA,NA
1976,Newfoundland and Labrador,Total deciles,54900,11.060344827586206,116700
1976,Newfoundland and Labrador,Lowest decile,11600,NA,NA
1976,Newfoundland and Labrador,Second decile,21300,NA,NA
1976,Newfoundland and Labrador,Third decile,28800,NA,NA
1976,Newfoundland and Labrador,Fourth decile,35200,NA,NA
1976,Newfoundland and Labrador,Fifth decile,43400,NA,NA
1976,Newfoundland and Labrador,Sixth decile,53000,NA,NA
1976,Newfoundland and Labrador,Seventh decile,64500,NA,NA
1976,Newfoundland and Labrador,Eighth decile,74800,NA,NA
1976,Newfoundland and Labrador,Ninth decile,87800,NA,NA
1976,Newfoundland and Labrador,Highest decile,128300,NA,NA
1976,Prince Edward Island,Total deciles,54100,NA,NA
1976,Nova Scotia,Total deciles,51900,12.827956989247312,110000
1976,Nova Scotia,Lowest decile,9300,NA,NA
1976,Nova Scotia,Second decile,19000,NA,NA
1976,Nova Scotia,Third decile,27700,NA,NA
1976,Nova Scotia,Fourth decile,34900,NA,NA
1976,Nova Scotia,Fifth decile,43000,NA,NA
1976,Nova Scotia,Sixth decile,50500,NA,NA
1976,Nova Scotia,Seventh decile,60600,NA,NA
1976,Nova Scotia,Eighth decile,70700,NA,NA
1976,Nova Scotia,Ninth decile,83800,NA,NA
1976,Nova Scotia,Highest decile,119300,NA,NA
1976,New Brunswick,Total deciles,52700,17.420289855072465,113300
1976,New Brunswick,Lowest decile,6900,NA,NA
1976,New Brunswick,Second decile,18800,NA,NA
1976,New Brunswick,Third decile,28500,NA,NA
1976,New Brunswick,Fourth decile,35700,NA,NA
1976,New Brunswick,Fifth decile,44600,NA,NA
1976,New Brunswick,Sixth decile,54000,NA,NA
1976,New Brunswick,Seventh decile,61700,NA,NA
1976,New Brunswick,Eighth decile,71300,NA,NA
1976,New Brunswick,Ninth decile,85600,NA,NA
1976,New Brunswick,Highest decile,120200,NA,NA
1976,Quebec,Total deciles,61500,14.475728155339805,138800
1976,Quebec,Lowest decile,10300,NA,NA
1976,Quebec,Second decile,21900,NA,NA
1976,Quebec,Third decile,31700,NA,NA
1976,Quebec,Fourth decile,41300,NA,NA
1976,Quebec,Fifth decile,50600,NA,NA
1976,Quebec,Sixth decile,59600,NA,NA
1976,Quebec,Seventh decile,69200,NA,NA
1976,Quebec,Eighth decile,81700,NA,NA
1976,Quebec,Ninth decile,99500,NA,NA
1976,Quebec,Highest decile,149100,NA,NA
1976,Ontario,Total deciles,66300,16.595959595959595,154400
1976,Ontario,Lowest decile,9900,NA,NA
1976,Ontario,Second decile,22400,NA,NA
1976,Ontario,Third decile,33300,NA,NA
1976,Ontario,Fourth decile,44100,NA,NA
1976,Ontario,Fifth decile,55000,NA,NA
